oid,NZGD ID,NZTM Easting,NZTM Northing,year
CPT-DAL-17,1094.0,1573495.1,5181834.56,2010
CPT-DAL-19,1096.0,1573913.09,5181844.99,2010
CPT-DAL-20,1097.0,1574113.48,5181897.97,2010
CPT-DAL-22,1099.0,1573614.93,5182098.11,2010
CPT-DAL-23,1100.0,1573910.29,5182147.67,2010
CPT-DAL-25,1102.0,1574327.22,5182208.53,2010
CPT-DAL-26,1103.0,1573900.35,5182314.86,2010
CPT-DAL-27,1104.0,1574131.27,5182348.13,2010
CPT-DAL-28,1105.0,1574347.38,5182392.82,2010
CPT-DAL-29,1106.0,1573923.06,5182569.96,2010
CPT-DAL-31,1108.0,1574317.6,5182612.75,2010
CPT-DAL-33,1110.0,1574183.27,5182817.31,2010
CPT-DAL-37,1114.0,1574304.42,5183000.16,2010
CPT-DAL-38,1115.0,1573319.65,5182003.01,2010
CPT-DAL-40,1117.0,1573527.21,5182478.35,2010
CPT-DAL-41,1118.0,1573713.36,5182733.94,2010
CPT-DAL-42,1119.0,1573557.78,5181723.25,2010
CPT-DAL-43,1120.0,1573563.31,5181672.51,2010
CPT-DAL-44,1121.0,1573449.04,5181581.74,2010
CPT-DAL-45,1122.0,1573404.17,5181504.98,2010
CPT-DAL-46,170.0,1577822.55,5182279.42,2010
CPT-DAL-48,1125.0,1573473.04,5181229.59,2010
CPT-DAL-49,1126.0,1573519.39,5181222.23,2010
CPT-DAL-50,1127.0,1573689.37,5181227.87,2010
CPT-DAL-51,1128.0,1573766.75,5181305.56,2010
CPT-DAL-53,1130.0,1573787.29,5181498.65,2010
CPT-DAL-54,55813.0,1564713.58,5177676.78,2010
CPT-DAL-55,1132.0,1574174.61,5181733.28,2010
CPT-DAL-57,1134.0,1574341.89,5182241.57,2010
CPT-DAL-58,1135.0,1574352.36,5182302.31,2010
CPT-DAL-59,1136.0,1574348.13,5182455.39,2010
CPT-DAL-60,1137.0,1574338.38,5182520.28,2010
CPT-DAL-61,1138.0,1574315.47,5182626.2,2010
CPT-DAL-62,1139.0,1574300.85,5182775.75,2010
CPT-FND-07,1146.0,1568060.77,5181489.81,2010
CPT-FND-10,1149.0,1567472.29,5181622.81,2010
CPT-HAL-03,1166.0,1565486.03,5175383.9,2010
CPT-HAL-14,1179.0,1563413.75,5175479.22,2010
CPT-HAL-15,1180.0,1563611.42,5175309.85,2010
CPT-HAL-18,1183.0,1564174.39,5174722.73,2010
CPT-HAL-24,1189.0,1564960.79,5173690.81,2010
CPT-HAL-27,1192.0,1564913.67,5173182.53,2010
CPT-HAL-32,1197.0,1565534.48,5174172.79,2010
CPT-HAL-35,1200.0,1565812.03,5175015.88,2010
CPT-HAL-36,1201.0,1565699.71,5174666.52,2010
CPT-HAL-37,1202.0,1565561.75,5174400.82,2010
CPT-HAL-40,1205.0,1565005.75,5174768.57,2010
CPT-HAL-42,1207.0,1564889.9,5175339.73,2010
CPT-HAL-44,544.0,1573298.04,5182036.06,2010
CPT-HAL-45,1210.0,1564781.48,5175767.47,2010
CPT-HNH-02,1230.0,1568454.58,5176041.02,2010
CPT-HNH-03,1231.0,1568322.52,5175737.55,2010
CPT-KAN-03,71749.0,1572096.61,5182098.5,2010
CPT-KAN-05,1266.0,1572386.86,5196601.13,2010
CPT-KAN-06,1267.0,1572480.95,5196520.84,2010
CPT-KAN-07,1268.0,1572711.51,5196310.34,2010
CPT-KAN-08,1269.0,1573043.55,5196169.13,2010
CPT-KAN-09,1270.0,1572574.61,5196778.1,2010
CPT-KAN-10,1271.0,1572656.17,5196687.95,2010
CPT-KAN-12,1273.0,1573047.24,5196427.75,2010
CPT-KAN-13,1274.0,1573172.24,5196274.66,2010
CPT-KAN-14,1275.0,1573309.78,5196361.98,2010
CPT-KAN-15,1276.0,1573331.24,5196529.78,2010
CPT-KAN-17,1278.0,1572859.85,5196869.36,2010
CPT-KAN-18,1279.0,1573060.14,5196640.8,2010
CPT-KAN-20,1281.0,1573474.52,5196551.09,2010
CPT-KAN-23,1284.0,1573560.33,5196806.28,2010
CPT-KAN-26,1287.0,1572219.3,5196845.47,2010
